source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Negotiations on DACA have begun. Republicans want to make a deal and Democrats say they want to make a deal. Wouldn’t it be great if we could finally after so many years solve the DACA puzzle. This will be our last chance there will never be another opportunity! March 5th.,2/13/2018 10:52,19802,86897,FALSE,963365328716812288
Twitter for iPhone,Our infrastructure plan has been put forward and has received great reviews by everyone except of course the Democrats. After many years we have taken care of our Military now we have to fix our roads bridges tunnels airports and more. Bipartisan make deal Dems?,2/13/2018 10:43,21457,96494,FALSE,963362959463469058
Twitter for iPhone,The journey to #MAGA began @CPAC 2011 and the opportunity to reconnect with friends and supporters is something I look forward to every year. See you at #CPAC2018!,2/12/2018 20:48,13647,62775,FALSE,963152799486828544
Twitter for iPhone,Thank you to Sue Kruczek who lost her wonderful and talented son Nick to the Opioid scourge for your kind words while on @foxandfriends. We are fighting this terrible epidemic hard - Nick will not have died in vain!,2/12/2018 12:54,16333,82446,FALSE,963033580107653120
Twitter for iPhone,This will be a big week for Infrastructure. After so stupidly spending $7 trillion in the Middle East it is now time to start investing in OUR Country!,2/12/2018 12:46,29430,132369,FALSE,963031666150313984
Twitter for iPhone,Just spoke to @JohnKasich to express condolences and prayers to all for the horrible shooting of two great police officers from @WestervillePD. This is a true tragedy!,2/11/2018 20:36,14563,74041,FALSE,962787355932360706
Twitter for iPhone,Rep. Lou Barletta a Great Republican from Pennsylvania who was one of my very earliest supporters will make a FANTASTIC Senator. He is strong &amp; smart loves Pennsylvania &amp; loves our Country! Voted for Tax Cuts unlike Bob Casey who listened to Tax Hikers Pelosi and Schumer!,2/11/2018 20:26,23532,93637,FALSE,962784821389996033
Twitter for iPhone,4.2 million hard working Americans have already received a large Bonus and/or Pay Increase because of our recently Passed Tax Cut &amp; Jobs Bill....and it will only get better! We are far ahead of schedule.,2/11/2018 19:15,24618,120619,FALSE,962767075457593344
Twitter for iPhone,So many positive things going on for the U.S.A. and the Fake News Media just doesn’t want to go there. Same negative stories over and over again! No wonder the People no longer trust the media whose approval ratings are correctly at their lowest levels in history!    #MAGA,2/11/2018 18:21,30615,120190,FALSE,962753552824365056
Media Studio,My Administration has identified three major priorities for creating a safe modern and lawful immigration system: fully securing the border ending chain migration and canceling the visa lottery. Congress must secure the immigration system and protect Americans. https://t.co/xV1lgfhjBU,2/10/2018 23:34,31579,115946,FALSE,962469767109009408
Twitter for iPhone,My thoughts and prayers are with the two police officers their families and everybody at the @WestervillePD. https://t.co/AoingY77Ky,2/10/2018 21:18,20340,82756,FALSE,962435602296786944
Twitter for iPhone,Republicans want to fix DACA far more than the Democrats do. The Dems had all three branches of government back in 2008-2011 and they decided not to do anything about DACA. They only want to use it as a campaign issue. Vote Republican!,2/10/2018 18:50,30294,115856,FALSE,962398269593784321
Twitter for iPhone,....agencies not just the FBI &amp; DOJ now the State Department to dig up dirt on him in the days leading up to the Election. Comey had conversations with Donald Trump which I don’t believe were accurate...he leaked information (corrupt).” Tom Fitton of Judicial Watch on @FoxNews,2/10/2018 18:34,19831,73868,FALSE,962394439846191105
Twitter for iPhone,“My view is that not only has Trump been vindicated in the last several weeks about the mishandling of the Dossier and the lies about the Clinton/DNC Dossier it shows that he’s been victimized. He’s been victimized by the Obama Administration who were using all sorts of.......,2/10/2018 18:16,25655,99310,FALSE,962389786328797184
